"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111680618","10.8.16.4","8.6","","","","1"
"2015","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680790","11.1.15.1","148300","","","","0"
"2016","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680790","11.1.15.1","158200","","","","0"
"2017","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680790","11.1.15.1","139400","","","","0"
"2018","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680790","11.1.15.1","134800","","","","0"
"2019","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680790","11.1.15.1","139000","","","","0"
"2015","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680793","11.1.15.4","17.8","","","","1"
"2016","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680793","11.1.15.4","19.4","","","","1"
"2017","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680793","11.1.15.4","16.9","","","","1"
"2018","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680793","11.1.15.4","16.4","","","","1"
"2019","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680793","11.1.15.4","16.1","","","","1"
"2015","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680797","11.1.16.1","98300","","","","0"
"2016","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680797","11.1.16.1","108100","","","","0"
"2017","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680797","11.1.16.1","99200","","","","0"
"2018","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680797","11.1.16.1","87700","","","","0"
"2019","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680797","11.1.16.1","87100","","","","0"
"2015","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680800","11.1.16.4","11.8","","","","1"
"2016","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680800","11.1.16.4","13.3","","","","1"
"2017","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680800","11.1.16.4","12.0","","","","1"
"2018","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680800","11.1.16.4","10.7","","","","1"
"2019","British Columbia","2016A000259","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680800","11.1.16.4","10.1","","","","1"
"2015","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680972","11.2.15.1","113900","","","","0"
"2016","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680972","11.2.15.1","143300","","","","0"
"2017","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680972","11.2.15.1","112500","","","","0"
"2018","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680972","11.2.15.1","124700","","","","0"
"2019","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680972","11.2.15.1","97100","","","","0"
"2015","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680975","11.2.15.4","13.2","","","","1"
"2016","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680975","11.2.15.4","17.2","","","","1"
"2017","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680975","11.2.15.4","12.9","","","","1"
"2018","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680975","11.2.15.4","15.2","","","","1"
"2019","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680975","11.2.15.4","12.2","","","","1"
"2015","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680979","11.2.16.1","81300","","","","0"
"2016","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680979","11.2.16.1","96500","","","","0"
"2017","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680979","11.2.16.1","75300","","","","0"
"2018","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680979","11.2.16.1","74200","","","","0"
"2019","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680979","11.2.16.1","58200","E","","","0"
"2015","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680982","11.2.16.4","9.4","","","","1"
"2016","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680982","11.2.16.4","11.6","","","","1"
"2017","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680982","11.2.16.4","8.7","","","","1"
"2018","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680982","11.2.16.4","9.1","","","","1"
"2019","British Columbia","2016A000259","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680982","11.2.16.4","7.3","","","","1"
"2015","British Columbia","2016A000259","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111681154","11.3.15.1","110000","","","","0"
"2016","British Columbia","2016A000259","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111681154","11.3.15.1","125100","","","","0"
"2017","British Columbia","2016A000259","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111681154","11.3.15.1","127400","","","","0"
